,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
0,2268,23164373,20342233,51115115,28661918,25943407,47011541,35313331,21318925,24990661,0.4533356076696347
1,47003820,32519362,36219627,31016779,19113578,19265554,41926594,21329002,29302906,19674006,0.5047752724993366
2,105866,49062716,25325566,45454861,24249770,38862018,326735,29574186,38056817,35563841,0.4633714061102935
3,27873003,20477030,25700544,30905089,64813586,64968067,419375,30402648,19945113,43200808,0.548920211740611
4,20469453,35030968,38868808,50529364,23913539,31453689,35667081,32734658,62160503,57503918,0.546908124732142
5,21781448,21708284,43019079,60569882,40452757,51727377,22292149,21422349,19289226,39920210,0.4965938543400259
6,36931302,47870321,27762229,47794855,22301939,22714237,58472465,46117198,39851073,31421751,0.5032389010940541
7,43866348,38997637,32889083,48617149,22583269,47589014,58059872,50809050,37029387,42060327,0.4738576672287783
8,21695248,48139289,24682479,41288179,35282339,59619100,46322193,55971664,20142855,19627511,0.4978170014426251
9,61598880,32036948,32504587,57089178,21028544,60600808,29361336,50740581,30137584,22451716,0.492219667802664
10,29759724,20567040,36555388,24880809,63529896,32557612,25103425,45469879,27911077,21047869,0.4880263009643937
11,37179603,28966632,37610058,43172976,20339734,48649657,44129323,26459857,23657542,24638852,0.5210662600985547
12,23300841,24349297,47014756,21676421,27395882,24399422,31623760,34671296,20179843,35454172,0.516108026141442
13,53096440,26062574,38750382,40230301,62341782,22981559,24286439,47003938,25789319,45356370,0.49772713650625566
14,35229798,62032478,21506709,30231699,20085924,19475069,41968806,21266808,195413,26453384,0.4587019377275303
15,19625789,40282917,31129402,60434758,35751349,28465260,31255310,38036406,51768675,32648285,0.468450076439685
16,19775614,22757967,58932232,35160871,58596527,38927294,22683883,46760170,127854,47825709,0.4911889809741316
17,30552160,40938371,22563364,25281159,291910,37556950,46571053,58169806,35784856,44782981,0.5478655144185659
18,46669731,29414710,64914143,60339139,36551823,52031477,42190401,23871158,36395263,32847075,0.48005892258332794
19,34230828,46670954,21101262,21026131,19604613,19550806,34100837,19846888,55209637,25426052,0.5279617827905287
20,21401174,48687824,47702710,50336534,43414967,22993072,33329616,41230755,22124618,36041615,0.5310153204642023
21,50558670,20712677,32285934,34972409,44032836,52783670,42744955,56322104,26383298,50827531,0.5417033951326833
22,34061429,19691934,60639746,21438297,26052189,41682425,42854133,45703286,27464267,24152349,0.5232126009003091
23,42849811,23425802,55749256,27322130,40281821,46200907,35036250,55689568,26088444,39683874,0.5292021202434104
24,58122751,48052236,30182291,27890344,35430735,28571076,40927684,47675079,49970992,23174865,0.5014241340451294
25,22587524,35055737,19557440,19990852,47129497,24136754,64775247,34716390,39751562,25141913,0.4742111855399266
26,38987484,29792552,20056665,21279123,32536265,28713595,40082468,36179268,59206298,24447657,0.48226625315026067
27,21358777,48361991,56389385,28846770,31496465,25259441,32652846,35008384,59364041,20963751,0.4911053812138189
28,44569278,32927147,48182170,19986742,48065322,22571342,56333959,32415191,53283735,35008748,0.5284917996039906
29,40007137,51683476,31742972,30524032,25553665,35519554,25776199,35642346,44612831,45199830,0.5178783485014964
30,60264532,20573689,30741921,25345926,19536581,25819382,60783062,39605655,31490266,26191005,0.5114160817640115
31,50669387,51023795,26672488,25852315,25013813,31901063,40006699,51562218,51822709,58817732,0.4846663079206003
32,44511492,41318177,22781168,64799832,31256252,20881812,59196233,30852227,21948707,39723370,0.48047764746594307
33,31410692,46177648,25411012,46997581,21555249,36750290,22965894,33060549,37374076,29167492,0.5352527914033304
34,20874821,58763023,24069316,57535851,25326736,38679119,30395148,45971636,24561596,25392564,0.49252664098107546
35,26836011,38595287,53746974,64300686,32864771,21981179,22991176,25001491,34941973,37844584,0.463861814349212
36,53872915,60236872,50145013,243189,31242345,47105182,22990518,21316526,21375527,48984676,0.5009398550156928
37,60278985,62061122,48377810,30958048,36407453,47066155,31071479,36559658,65023804,20949114,0.4836862457759039
38,35592685,22620726,40677228,562719,21736137,32419652,26430009,19328469,37131537,21365495,0.530075241747917
