,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
0,44109573,59520238,29723320,23854459,29587382,22017894,21936329,20614096,21439094,35803160,0.5063402565574154
1,29395627,36069714,40620678,31276297,20088638,32374045,35912390,43229769,20882656,42102614,0.5155257239608554
2,31759755,43365210,22204465,37165122,38869130,51560141,34664212,58627765,23267779,36475888,0.45556486425728326
3,53016681,51071792,23663807,39563821,47913390,38800033,24678983,33981327,49061937,34087935,0.5029418530124812
4,24928768,23950027,22628198,39564494,24541527,25277690,21068295,24502772,31385579,50859,0.4976060687002178
5,45805490,51735543,35460486,60789193,60167774,53510242,35962209,59715713,20724516,42153348,0.534960922452858
6,40509706,35881656,30593450,26123122,23588274,35495307,32742637,35029345,20375903,21925889,0.4663322801461553
7,47932373,55527154,20867872,44729614,32793489,53396315,23037518,24273708,53416346,24179356,0.5360562371795894
8,52338003,63604854,32197389,21510013,20271690,34207489,40520233,51658630,50216618,46093372,0.524571221275526
9,21622988,28839994,37971531,60509146,36553607,42792625,46164349,37854926,69783046,50600231,0.5184392746260428
10,37909033,50192622,24600205,64825303,40749002,56349554,31139655,25024196,51129645,21986709,0.5215110414508166
11,47823727,42792417,48694750,23009558,25954514,21181472,30859873,27806363,39950824,38285357,0.48429222407243955
12,36390676,23502176,37350271,21489647,25906808,55817418,19826158,55456033,40300959,23022573,0.5120859674100837
13,53160033,47361943,52325858,25194771,39573943,20387979,40386209,24400479,19960243,60551983,0.5249634234528834
14,23046575,30753416,31023224,35299569,34544335,26279716,20246448,498482,59743651,40385104,0.45006012959340963
15,50858423,21586876,49879634,31380684,32555548,22981221,19630901,39861443,373353,43085059,0.4701685174740617
16,34339188,45499452,592475,58160389,41262976,47545901,28996631,31804886,34238058,31148496,0.5323666071001504
17,55893411,36794520,19318686,26524688,68583186,24871225,31221761,26800500,29516556,31028904,0.5471728643921292
18,34461086,56853591,39063532,22622012,65009187,29682506,27969703,35170214,25769939,35859892,0.4945208456599485
19,31185683,21686109,29690869,5653,24363613,31634211,45750792,58445658,45498494,22790661,0.48601065470347227
20,31024088,29214251,21191074,47157931,43199213,39721740,34873634,58969091,34996262,36402229,0.5202650715238947
21,31262926,28958131,46295516,24960882,37132845,35462885,33749085,48631595,50671928,52269597,0.5292518756089347
22,24302524,31244020,19099452,23275676,65130848,37083224,29564206,24540997,38529539,43806409,0.4880587342757603
23,32626681,25001801,24247413,34084735,22322516,24469247,23485107,32288695,43264295,47700711,0.4590378972298113
24,50168181,25235235,25076495,400704,37919100,26363508,43114727,22103182,21210335,41159330,0.5214350447926609
25,39679508,30928906,21884609,312879,28796101,36563900,39643140,32847889,48174797,37330373,0.5102421251243544
26,39791551,56874256,47444324,32275413,22978222,20085110,46582931,20461202,64828505,23954789,0.5379442733822503
27,27211528,19418408,20114281,43730191,51023795,48060532,35684067,59973172,41977578,30615861,0.5030179873909432
28,36769797,19657958,29761488,23523055,44271934,29297438,28407591,59180993,63580429,47648757,0.5182921917691515
29,33709739,34859739,26623785,51029743,61045824,26613085,42899500,32936189,19786015,37308364,0.4772245727981846
30,35436869,33391117,60441592,20595170,40631825,25028895,21165503,20270577,48176068,43910058,0.49278245627759376
31,35422988,60295696,45323289,21810168,47464749,63437630,24248628,37302978,53277696,35370413,0.46963624547936356
32,36029337,43096316,24167383,45313796,40283478,43644522,58052032,60502088,55559991,25373855,0.4885340184206531
33,216218,21143162,24262941,32743591,24443944,45177774,38121988,19954591,38661568,49619956,0.48788534197828104
34,50350701,19840033,30039581,23219012,41645390,30690940,22700213,34527697,45590995,39256710,0.5016463024513634
35,331253,30681843,24240153,21247291,47120310,40703449,47151430,34591113,29740344,56863507,0.5282678566053026
36,20109007,75069145,59031690,27639463,35749560,39485872,23586353,20795640,35631651,30964201,0.46236970468725325
37,20595651,20522246,24547025,32499545,24679966,38900518,59194766,36080967,21679834,59662779,0.5407972086344074
38,54978411,34309197,24939757,39045845,57448605,59979919,24902121,25097189,35784856,53423307,0.5242001576542227
39,34173717,24571309,26366958,42744078,40562319,35080912,45087736,38674873,59691425,42856917,0.5294508912481178
40,19117429,19449479,40798669,21697024,50671681,25018365,20963299,35675532,37345847,45472543,0.48220766419069044
41,34206361,28928274,40350899,22204573,60302700,25519563,59599232,49909773,52269394,24516602,0.47993306132668667
42,37442146,31190255,291233,20265130,34807261,30438788,28833155,28699472,23586977,41289789,0.5129553814495525
43,21234498,25786514,22476445,43450578,52443666,50720100,39637579,51697377,28571076,46273866,0.5330165982632663
44,30452155,25264959,24517540,30294525,56907235,22584368,44962932,22977842,53531412,19463048,0.45431447305005146
45,41284225,19601915,30615039,57433422,21530637,22167193,33350988,37689098,32229385,31723013,0.4713302982945317
46,40860917,47137471,39541611,24049859,53894901,64721111,20011868,54864137,30781479,39188832,0.46579804838626154
47,38990588,51785261,35272031,31955569,19790983,358238,31139738,32618744,37182698,31983678,0.5172276178364464
48,32905313,48012456,32701963,32628033,53112242,27781772,35664967,38132279,52939140,57239907,0.5151740777167203
49,35295495,22419510,21675188,21323185,37791445,48382597,40753287,29309277,47830664,28840508,0.4696014263408996
50,25209828,20549502,41988978,22040445,20027096,50746284,39189213,32283507,22949948,34177014,0.5224142032023186
51,48317310,30417779,19616765,63960224,50791244,38091877,22386352,19857904,37352945,29343369,0.5163586396188078
52,59511638,21691812,51030821,19738830,50384513,47736997,47109996,39771523,53110951,35359237,0.4533591160404255
53,51832483,38111803,51696345,20044027,6036,40663208,24496525,20412130,34992356,47579301,0.5433031100898925
54,43694765,26347109,37853801,35244150,31844787,31376424,47862396,36332866,59318041,28363503,0.4943586063702735
55,19782337,53767428,22862342,26274784,32512592,36844994,51269295,30564020,55413799,51562218,0.45755797538627135
56,19953030,34885743,54834789,39559379,22397625,27375850,20373466,19262900,25757342,25243585,0.5086862423489912
57,43944028,28904860,35552808,55983007,25948804,38273871,19555596,22344229,21274301,49346127,0.4536251462854835
58,25119011,31588279,64805916,48414154,43410031,21413144,19052281,27099816,44570303,22331223,0.4610618692132914
59,59651987,36816810,35663655,36384364,50832519,40599114,20261762,36970466,28521351,31109491,0.46990112929255345
60,20747662,58952827,43642527,38833697,51538587,39174932,21874643,20827864,39482270,29593452,0.5323231047007093
61,19093013,64551168,39292190,50216642,45821678,28950532,30003588,48999940,60912956,22498556,0.455462087988687
62,35315757,35154572,40030703,38998357,22846835,38925291,51744560,61620560,19924250,47479334,0.5077878192756797
63,51821529,80860800,37304053,41170336,23289793,38887577,39152360,39783149,24019302,39092408,0.45172145739422576
64,21210591,64788133,28376528,41766746,41069158,21666277,32264529,27849853,41968578,43784108,0.5240731431417223
65,307481,61485029,59551366,37312187,37810279,37250497,63879386,47853037,43353196,46315255,0.5190176031060902
66,35316891,25285037,44896641,22439494,30611684,44157976,37134816,30659161,22722221,22246939,0.4911927242585427
67,43839885,23418777,43876173,19503326,28788041,34310409,26716314,23034221,22455069,24933357,0.5325642260810928
68,36631911,59140358,41208381,207059,37948969,59143014,45322735,35093478,22602690,44087861,0.4623213029536172
69,28888812,19658977,26227035,43856208,39903261,48720895,29621597,40279641,47829176,61242106,0.46031016732515156
70,23682576,48327236,50698740,36456789,57109356,42797725,21494494,46410751,51435691,25934331,0.5028145460438436
71,22144773,43580971,29830268,24384061,43251967,56471255,51833398,43906402,23518786,367730,0.45044569710237015
72,30682337,51501810,31494536,24329702,20128019,56417554,48429681,59773714,42801861,43208051,0.5065274478905465
73,45088524,29611006,40735828,39042912,46249676,59413052,30874439,25541166,61229296,39590828,0.4660539729572815
74,26669923,20396188,35098437,43326800,46651361,26256584,38881398,44939489,51589373,21236634,0.46996082376600207
75,57347962,20067916,46073845,20243559,22057797,52991852,24227677,34953086,41895980,22828291,0.46371903001190595
76,35181181,38549213,24295844,48649171,61263608,59855018,34222620,32569773,43700598,20750877,0.5447199281363327
77,25170837,59984224,48171126,51101196,32704673,22902864,49641275,38665132,50912836,43351103,0.4716462972288225
78,26643881,59661918,24108234,19004284,30460626,28739736,20454047,51249191,38901555,41640351,0.4665546924827117
79,23310164,19811703,21541625,21404746,27816643,29549120,56924587,64896676,19758960,26725112,0.5001547704588098
80,21572490,47113280,53791387,23641677,30780441,20441656,20173969,63525433,24395293,24511285,0.5334676736063827
81,50588611,44090730,30563897,27639649,22218893,21202680,35653330,63520601,54926554,39212042,0.49353619696000994
82,52560555,51725087,37441980,43267625,22132949,36089347,21140808,22017775,51640724,48348058,0.4967199117426432
