,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
0,25307299,20613501,56914709,23197048,45931538,20437398,32880237,30539910,41677585,43097675,0.4865392046878409
1,49314704,37343283,51060913,39877451,34429237,59803724,40332943,24917073,24478153,23887008,0.5204371301657323
2,58811189,29307328,20200173,19066300,26231978,19987046,31520135,61199618,39548703,27702343,0.4685492958443895
3,34745126,50726746,25029760,36480609,40627007,34651638,24648374,22274458,59827781,58677943,0.5315848190690808
4,30926234,53404769,32266957,20099955,50572677,20831593,44510418,51118860,43137197,37011384,0.5271758588558912
5,59776225,27739552,20909317,23589819,46346240,41280783,22047684,36356941,51163530,22048134,0.476462812384818
6,37810153,419177,47591980,39945941,28423363,22387104,30648463,36363254,25159939,62254847,0.5195905187498084
7,39057059,20813851,48103018,40699659,26212454,19327641,551623,22218823,37012261,21079488,0.5315268750510637
8,18978931,39864582,37909617,32404244,47152808,46184291,35417450,42665312,23073678,51714452,0.5250139296168733
9,20047123,34493458,34218171,171090,26067690,38907279,40340252,54399476,38055642,23624939,0.452681847788854
10,59838090,50182976,22610942,24007414,40780617,38253975,24916202,53390962,37847619,19471659,0.5295062018100889
11,43093227,23290049,34122381,19267529,26869619,21919432,61371017,38883120,28389980,46189555,0.5275007765647433
12,39876916,29680960,38100026,24947687,39230421,56310628,35990463,64519894,29409511,20047562,0.47246155880750335
13,25098358,60289348,39897492,36735008,58693959,30863922,35491159,29586844,20377150,56489748,0.44525974030516197
14,22135418,57399105,59669235,36412303,56942017,39548637,31447176,40541326,21422092,21619200,0.47020620382437356
15,51745954,48321681,22855793,43149405,24485283,20336685,64879447,26057899,30651078,22669335,0.5153915156711067
16,52359535,19042053,41180370,29311758,20846888,59633684,24897434,39262293,25163012,53084805,0.529381202398103
17,44064933,31133020,20498817,55956002,35357139,43876173,45594115,20468497,21240380,34721691,0.5544367299871614
18,35860862,26482389,19009806,38833697,28936533,21028642,20531893,19441269,38669801,32274878,0.5296092651831467
19,63389102,37281188,51922374,56899874,55921916,20352206,36697856,28903004,22762411,30246131,0.5248871557655959
20,50132732,47220766,35315640,58709313,31255144,50854208,22318012,56336202,23008134,46690496,0.4548778260763272
21,42080821,40863381,30378861,20381937,35375298,25893544,19842794,45424709,32780618,51702108,0.5243372377811584
22,49930600,31380684,47089289,40371369,25838455,25748935,37808503,32672781,22845833,59442406,0.4629494141428253
23,49334715,25737395,41325349,23530239,52600294,20647433,31688482,45182180,20157573,24598801,0.46422633347254955
24,60778428,64833547,50360351,24341715,59459099,52751696,55886650,37555473,20030572,24958310,0.4469221660372239
