,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
0,30518724,38700075,59758811,44150109,27921091,42784335,19732616,19874037,39940883,29594275,0.505096015498958
1,22330992,43885941,20480394,28386275,24966429,31243161,35241498,28381026,24982054,37834103,0.49840986366081297
2,45980890,44360309,37107811,35323202,24524431,53220870,41753606,36341943,25425328,22985610,0.453665981183162
3,30550939,38603334,20449017,29411935,55360684,25873924,30552760,36481727,26784826,161067,0.4768260084600906
4,37237802,491659,59935157,26636733,51392208,20309383,64898215,22961356,22068636,34565019,0.48613287837806457
5,37459930,41885917,50019954,23446692,30666997,35200833,37544681,23067966,40570190,25058461,0.5029293719537223
6,24927431,19436990,45839720,22305378,55992789,59667693,25386106,49271634,19134692,21532666,0.5031003621344895
7,459702,50850890,64200696,48929923,26377647,19498638,23685227,23704355,36360486,48222948,0.5345833203163068
8,35677421,41258632,32363226,38990857,50571325,39584804,21186209,19952924,39762450,24259261,0.4856327697045795
9,31707813,22445634,40469991,31557715,41080219,47612244,24613971,30103534,42120693,24834459,0.5246073300517677
10,59763993,60150370,23032497,21012943,30401846,39859428,25601198,44312398,65020738,32262088,0.485500576168411
11,21169287,38189685,48066100,30004508,51162369,36801482,24414630,25728218,46610823,21915180,0.4998614554755089
12,49209749,34202288,19074679,36420286,23177393,55385163,48994041,39754454,53324213,25805005,0.5457907318327793
13,19720983,47271513,20008421,51960545,44705405,22614077,56915723,44335290,26184679,21031177,0.4886849660578759
14,41879184,20453563,35242799,61040137,41877702,21909689,22711427,35786376,20218662,22102257,0.5077129483355948
15,48457014,23469912,59311912,20475312,48634017,32651421,23735540,44461985,37035865,36840768,0.48674152679438754
16,24199140,19221868,21892034,23643795,39644802,47954130,22890223,37481653,35633625,64897928,0.4943648463212031
17,65180278,62200722,525747,24670509,37230428,31119916,51841591,58432336,35351902,20448979,0.5419649109272344
18,29129964,29490728,20900964,35034081,37798935,23473201,38814548,48454526,20460247,35698905,0.47192996917748053
19,26637722,32652068,21011944,20788758,51749795,26531855,64230972,44403358,44262824,22808264,0.5361332191322891
20,52994077,39605089,43321605,58662767,23209465,21124390,40081035,50646376,23160612,29512878,0.5230332518525943
21,24990754,28351913,64744038,21002497,23574946,40380352,28447200,19460544,57491102,36773114,0.5265120052191135
22,38761480,21393465,48418870,39246072,60183406,20858704,23146733,23511682,30773396,28679329,0.46333912854909426
23,39696955,47649781,204429,32287420,62100188,53833886,30896142,46274490,36902140,31493867,0.5278012722509693
24,22874521,32287793,32790795,40707156,269026,56003760,26200835,22437325,34040095,50956846,0.5260315499061952
25,24381710,34237128,63019102,44804533,53765287,48611984,34530834,35503151,51736878,406260,0.5273396169938794
26,37020895,39681879,25296758,21707623,60461301,35575263,36942686,21174295,40921534,49094536,0.4977758133289318
27,26493821,22801255,28798678,26338358,24873598,51003233,23275890,23037838,38919216,32500998,0.5036270570837657
28,42160023,23339358,20086778,64140352,30173350,25407994,35639426,69800997,34810910,41130014,0.4779869074503308
29,34896128,23579373,53302815,40860696,47391774,25320221,20275853,45735446,36614605,25400918,0.510595197880019
30,53403358,48587681,37787905,52309326,55905805,37929718,36783164,23208271,42833078,35701963,0.4685172086915875
31,21020848,40670163,29266027,23837997,49213599,44129262,22003264,21890030,39940848,57353630,0.474832394556866
32,29680005,30046939,48470289,44208152,31896860,22758566,21532243,64882317,43086861,44878827,0.5294322339287497
33,36711337,39429788,20798458,34546595,40439269,21935414,55405695,45892457,27682465,38065523,0.46111893636828777
34,38318659,32954748,42663492,48501273,60074414,59251985,190176,47859364,36800777,70996,0.5472829585520861
35,30483608,35748505,23849427,21628248,23436465,24067814,36354735,32969028,23233165,41774238,0.5360438205745791
36,61659466,30199690,60304593,42159410,51533614,21392166,25056122,50651779,25915539,32694608,0.5433588549618309
37,20389748,56901627,26654095,65093968,41652971,36365050,50987181,33689201,22446960,45980897,0.49013216809919313
38,52289113,24975695,28732758,42765190,21760696,34653622,48623875,21701685,44565862,22495211,0.450062600989471
