,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
62,29789684,31602104,19315845,42882468,32433935,21717693,51058789,20514303,21872789,25191680,0.4622654556819645
63,46662058,37545473,36347728,22240820,28664216,59080166,36395246,50051347,26709013,64863435,0.45401248413569517
64,58991429,53875089,32589037,35769221,20899922,51860563,42695669,36377984,37231059,33410694,0.53272330815509
65,30042040,23155987,29160852,61848756,36792766,39288038,20078965,26678835,379670,46319721,0.5235164842087635
66,23708402,43843377,24150929,26064833,38334958,35703467,24950459,32857223,37248224,20978725,0.4879427232811871
67,22117297,33991725,38813399,50910483,37772289,48627287,59431328,44359507,34284428,47889255,0.4962443905870833
68,21328435,23302472,35939687,18991878,34382975,34022914,75679196,64932597,37187618,41303889,0.5406769418616943
69,39493174,22440187,30894569,24168386,35786032,52455450,60321338,27292494,27811656,53510658,0.5058310872900849
70,54961696,34015821,24614163,22172559,47116563,64810495,34636810,54934952,47569462,60109294,0.4716288793706667
71,30229096,22059204,24156099,35399378,24523867,45800051,53886719,20232618,30053352,62610989,0.5430764031173274
72,21388644,47716146,34122912,35114631,38876645,22056694,44259287,47499111,34095598,20714026,0.4615072681248921
73,37167985,32316821,56961805,30780160,44179444,31273534,34064517,30781933,40308781,31720006,0.486255103711201
74,44946140,30405079,20476505,26124393,46340967,26492064,60840434,47724744,24235967,20182566,0.5432907221932238
75,20200673,47760921,53112939,42724738,24987413,42161910,35229798,40951260,44646634,40317140,0.4821154187358299
76,49270334,47805159,22883774,60580927,45574204,20498566,45133283,41212661,31388259,20483362,0.5349025457830427
77,20978563,19098858,37009645,25143780,40200624,76299,29595016,36746621,53374025,43515932,0.5483428404272145
78,52359060,34187932,34933832,24399539,59422988,28864466,29555255,24056,20420107,58612321,0.5391192502066937
79,51851502,28620646,21814743,25077699,20438458,23745609,46071273,49102013,21051757,32385377,0.5233035186201036
80,55982840,29278959,50167823,20625789,20053654,37278047,19068388,59999858,35651421,52395880,0.45997034797106523
81,21222318,36101835,28886831,24874119,20360324,21464853,22859595,23907520,29602324,61630944,0.5275100989504851
82,23799709,42151742,19874592,30903470,36757009,19905665,36769339,32245244,47310544,50603292,0.5200270621144288
83,21598885,44621503,62999287,37034720,63574823,46612950,37103046,20721408,53343805,26609661,0.5068868500749234
84,64810546,33760286,36940370,39092584,31584521,59431817,53041223,35704125,30549236,40899460,0.5294048697115813
85,62358571,22715381,43930092,408293,58693959,20604420,29273091,53083659,19563299,30429049,0.46732640427983363
86,20548243,50203708,24901784,53835561,489656,51686487,31058890,22567526,61603188,37055901,0.4549197895093742
87,22456081,38613362,51489570,48243564,53495429,32179713,39524984,37501957,25329887,57049141,0.5102496108730908
88,41809576,19054162,46184398,43137721,19736155,54261725,38923949,46433254,37963607,19758050,0.5119038425477397
89,112658,21310652,39245500,58778721,27392091,50744431,46582172,51693428,53745584,30967352,0.5400941391012366
90,59164030,29680974,59360797,45775933,42652481,26583995,53486238,64905414,21286269,21597206,0.4619055738167483
91,24742095,21382192,30642857,52327429,44130964,22543672,22462128,24580452,62288288,53160033,0.4520602840262311
92,30987749,34172079,60192295,27464614,25735291,59442007,22574966,24241789,23222628,32014075,0.4835615647761009
93,49093399,36717475,23939327,46043773,51406613,38342417,20147872,59730808,64891958,22730773,0.4862975088034709
94,22896159,43821087,24119922,49669728,41203909,24670509,343793,39959148,31331481,60312247,0.54569914192949
95,52271318,19441550,47118824,25765679,37487683,40911223,23318785,59762523,61100867,21675015,0.5495926151608249
96,47016678,21421863,52714751,44227733,65093702,39872246,20290938,362810,25064752,27890594,0.4735539611459735
97,55299166,70469793,19978562,25510876,63528222,32254290,59205224,46312874,55480396,49272340,0.5348814305818002
98,51015361,26320721,55943476,50372151,46420532,29342816,19849784,40259356,19099452,32552794,0.522507625465044
99,29317522,59113953,39205865,314116,55486322,29596492,36882947,34340614,37065503,20413098,0.46835186649968935
100,49489199,55313568,27302511,21346272,37957975,27649709,31196788,51516930,50278363,42689474,0.47486227432412287
101,24713435,19358726,44560342,24054506,50380159,22152431,45633685,43101649,20333026,36424939,0.49902519694320385
102,28581153,37484558,39713577,25759351,25109348,37431123,37783870,32945312,12938,59442045,0.5467250182206315
103,29719294,39850871,48705227,53403499,24996038,57651666,39769647,28732529,32957663,32246544,0.5063739511300919
104,21431573,30614003,52357642,51061258,53428291,62317115,47932777,34796422,19952396,36728881,0.5220267955587878
105,45310335,24678259,23802013,45416781,23507458,25151999,57579310,36543870,19068357,22470524,0.46050489798505845
106,19128098,25542155,35599642,37555256,23988412,47675709,32642493,32492640,19262900,31185414,0.5035109851508299
107,25290938,24579212,45551212,36727763,45620030,41796498,34769188,23151929,22260115,27401962,0.5085789335407207
