,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
0,36733006,57209743,22318422,23343693,21145980,22088462,24671079,50705849,23554346,27899990,0.5073036478362046
1,37291411,40259958,518395,19198127,36611528,29342659,21088032,24362453,35631711,25915843,0.48838182539947456
2,40902215,23258793,65094187,23689942,36062319,43167392,35692870,28767736,32694589,356112,0.5203360987326565
3,27851865,22761693,24881934,21463202,31214634,306037,25177645,38721278,51179683,28358692,0.49770342217229746
4,32564471,19839957,35803972,26327368,26295398,58250605,40762071,40160653,32931539,44663113,0.4526712733264244
5,41941105,33719740,56649244,43425171,56779112,27451724,61240925,19902485,33059626,30144628,0.4887398566208595
6,28859969,22826419,47094831,25424259,22279122,23412723,21589047,44830439,45641991,43900809,0.46998320941521504
7,22780968,57332087,63399090,52801301,30753301,38863592,45556530,39587072,35550751,22822514,0.5042336198933695
8,36970055,37836001,21002003,47622244,28782649,40871452,21765561,42827447,27713944,24486260,0.5059446530894747
9,42818877,47001597,20518195,34118235,27173096,37760255,49264438,25728838,39764547,34526517,0.4757238841812186
10,54878080,23306678,37344880,32273849,39503828,35798928,21065673,47561061,19743075,30665015,0.5250281649908881
11,41716759,22885409,22712285,31755047,41694868,33989392,29040086,24500738,43743098,32749554,0.5042348679527594
12,22911286,24935509,28784230,29301852,38066046,63497083,29484120,49299776,43696324,33009079,0.5123840963668025
13,59657944,22191938,55479054,38838605,20067394,28904297,50252794,32405905,19424792,20130196,0.48229617110501993
14,35601434,35660580,24031355,18979505,19983316,22643996,44033189,28809539,59172433,23780100,0.5185938328284417
15,28768655,22437928,39619360,39970775,40358099,19759290,22034092,38858292,23933117,59922411,0.45104270251061945
16,61800866,24716960,38601345,29723643,24965680,28936301,22496191,20918758,20960909,25190148,0.4663285526788825
17,19376841,24291410,30722232,31462768,30452518,48336697,34990886,61781563,34570112,44795800,0.4831002629924193
18,54699928,236455,51632196,53876397,54462284,46660734,48714905,56836573,35726528,21715389,0.45928090223460905
19,35582149,36831181,61272467,32510533,21821906,493671,21366533,22587102,35622929,33980755,0.502030727096303
20,21266116,45604947,26776099,39659065,48467631,35790265,37536297,41782944,50897239,53867593,0.46915253478525143
21,20704676,28937396,31501262,34293728,59581407,60149058,37859243,41250425,48371748,55199639,0.46264399454901833
22,59741548,40371369,24557660,43353196,34749743,38831719,30489842,21008678,31720006,20746465,0.5012007169348461
23,53415854,21765331,36412204,31399136,38899019,31822678,51579778,54924767,20824378,43500708,0.5395037845309063
