,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
0,39823160,58769475,19830957,20661041,31009929,88459,35387156,32559763,26182512,32984788,0.4896398501074646
1,31107730,30789628,32420694,21477694,38691732,30460318,28600052,36199414,61596230,20927754,0.5017269319527381
2,42820472,30885320,43602089,27963391,41230658,51842815,22182383,20241275,44093505,22714284,0.5048928371352216
3,25936314,38834356,40826173,34270204,20438458,58372448,37288312,31253758,45635337,43400129,0.5379197022678018
4,50350359,20964081,40888375,20225753,39589393,32771413,36031465,22448528,23365837,25428006,0.4930926841780422
5,29700629,39603104,46075183,19484106,28672921,57080071,34840814,34083079,36416275,29544470,0.4884891087822083
6,26095540,22050119,52740535,38805910,40411206,35531240,41902631,37292559,21329498,61826059,0.4922294010097283
7,50379855,26294159,25728934,31331481,38074644,20377628,38841800,43231178,36424939,50470044,0.47612884124492566
8,37169628,42719637,42033587,31439179,23309263,18980014,21716085,31227538,22552441,21646643,0.5014391117091528
9,60972715,21208331,37699500,37104008,32898930,59471549,22437345,64649198,32535781,33101945,0.4962583690690214
10,49338692,39930798,33071293,57449634,21646137,52769225,52337456,19716841,19749235,64600002,0.45436348754194317
11,39157028,37331425,40693847,35622929,24994836,25797565,63426165,20101993,30419490,47782934,0.5261679742814446
12,38292730,25213938,43461440,38746486,39710430,51615538,46759982,42132660,57323217,23571252,0.4540780772195163
13,57080192,23938679,20953242,30829447,32645816,39320174,23024070,51697591,49188566,28804635,0.5402082283237456
14,26700951,35107941,49530292,34252868,62869382,49326541,44671761,59232935,20970978,29401386,0.5230095872975623
15,61799166,35804904,24686842,118230,23455144,24990835,45063438,38161447,20649130,36422219,0.5387780920571715
16,35599941,21149471,403702,19912661,31940295,29539927,31972063,44735460,51400203,31284538,0.4982730680472619
17,44936762,37511015,43203302,57750961,36571627,23193949,23229429,30422239,40772941,32332868,0.5184123512226262
18,39835125,40977316,50444606,21837728,25873272,30419526,45138493,60414238,47120623,40433596,0.5390641711450744
19,40239173,20556855,29430274,22033129,28765024,32855995,52699277,34575358,61267349,24584823,0.5407800988058572
20,23107882,37511398,34215140,30362718,50703123,20785974,19960322,31406243,39606780,37993840,0.46924181175626745
21,22772118,31917891,43265709,34211347,23465887,62739471,25929715,25553611,21257452,47161614,0.5399222532770451
22,51438432,47830649,26796113,59559669,36892490,35412872,31543438,47551808,47390791,20122970,0.46952855581640585
23,54271372,35491267,53784358,40345718,27184101,53940109,19655926,43165271,20271690,44581853,0.5382058574322861
24,30216234,40355104,41333774,26107969,21038529,23369952,30753067,56985192,56908010,20968449,0.47612884124492566
25,32496974,22067379,49989405,19578888,21244449,39961328,39101715,35881969,24129346,58569152,0.4790012698681721
26,20588829,32517693,44339494,34761873,35765944,24019622,20149080,59208366,35871815,26189801,0.5399222532770449
27,54843375,23804152,49104420,25432272,259591,411412,45751253,31405357,21174095,51023474,0.5387780920571715
28,46292306,20120155,31434174,36713482,34360012,61650545,48336697,36747385,48434312,38263303,0.5313316152538072
29,476720,45456171,35511669,41759278,19235560,19999877,35795691,43537249,50456142,29222690,0.48216253855950947
30,19881285,31477767,20782174,38852742,23474523,30064062,30462852,10256,54838233,20909529,0.47986327796418354
31,22788549,58515406,26078528,28560376,30075473,40322192,21652185,37090628,63446439,20272370,0.5344839447268315
32,37926139,29163165,30424260,55336329,51923058,22888899,19241070,40593593,19424893,64814051,0.4787139613677733
33,34924802,30568004,35404178,25008039,31813004,20264548,19923978,24450445,59650422,24688581,0.531331615253807
34,58952827,27370770,32019939,50617684,41206316,24434490,25093673,40912106,34946041,29595128,0.4787139613677733
35,23402026,21437983,50252436,50775413,24372461,50715112,59019489,31227104,60237577,37619417,0.48561281583400134
36,26875279,20786575,32912587,25009697,22759008,40338094,48487917,39586384,60594315,22581969,0.4910784297551153
