,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
0,21861052,41340421,30120284,43420154,32160407,48321366,45399090,45060893,24234974,23437463,0.5298978958926076
1,35056841,23905113,23970758,30471097,61961974,54390058,21819035,22940813,35776363,51442215,0.5083460956770232
2,50857430,562517,28779336,29535554,40766444,26053094,59716433,21716045,51008946,21018812,0.5479189397529904
3,32671668,31123786,48954077,27705626,23327422,45142759,41304087,26233021,47076393,47685315,0.5464926527086961
4,23499581,42851107,24759783,46621017,22706267,21936498,24635885,47557797,23228279,334162,0.5089215702448845
5,38230289,34333698,46040399,29359363,38918271,20106442,25939931,46142993,36365534,25392886,0.48072540597335217
6,24349674,22633828,36698412,19321491,70199910,47663005,39751955,59113209,58859987,56816915,0.5304714441835942
7,46188553,38090440,36373061,32663232,43657898,24189628,32959697,38201312,24967347,22278415,0.5002878231048324
8,24850868,23139797,24478067,36521827,59551366,271338,37161788,44384720,30055565,21333275,0.5484892355963221
9,41242189,26821138,38000555,49000094,22138641,36040407,49430444,54359264,21106906,27841969,0.5290374258494125
10,37153934,49979812,48488362,49092278,465556,28410975,47171166,25127851,28361450,29262802,0.5112232168475384
11,39561965,42756488,20483185,43544662,27211783,28783183,36354981,35468246,25039860,36424939,0.49194164999676254
12,48685689,34179524,51052724,22954813,31840188,22254192,29210788,20661041,26620586,39734665,0.49194164999676254
13,54887741,95847,27736511,29482408,37338624,45782207,39607433,40959405,376482,32535374,0.5192745940266481
14,39174880,50039913,19294071,50704498,51714452,60126670,32300776,32694608,48940742,20614254,0.47354499962326624
15,32533674,20289759,32213084,51113977,34440690,36661749,34521909,41159330,43345339,42752194,0.5393502245017304
16,23242370,54943654,35725898,39429935,34256414,38301967,23131505,30712491,64660256,40742154,0.4746932070195412
17,38864905,19451589,42189714,42199339,40150773,37117935,340883,22988905,35564667,22663266,0.5011512905118227
18,23051232,22522762,55334601,38722347,35763082,56379048,38623784,19431621,51572894,22359445,0.48475010507303185
19,46561920,48243181,48592373,60892169,23579826,23140603,21729213,23719044,39742084,38263264,0.5126615105490256
20,28988972,20848379,31841259,31324795,22838094,45556202,54800224,36603515,45088740,39210690,0.5057562084111449
21,37775894,31748014,44072748,21362033,20915655,34871492,25921301,34390605,59099648,29544470,0.4540780772195163
22,23879597,43123612,46221335,23436465,46376233,26139498,21560749,19601077,49130395,22727494,0.4769904127024377
23,24926107,21380547,37811081,19114041,26631063,20593703,31797026,64772997,59910071,58676786,0.4503705561857403
24,52395880,42780267,45910888,24016944,45754520,34910078,45226487,543815,24968697,60120466,0.5046050399709764
25,22346236,39275376,34052706,39504171,30516735,44735509,57189242,40853058,43224479,40502090,0.464656796210599
26,21275341,59533107,21647567,55363193,38049497,51552352,24376437,26125782,47519111,30397331,0.5399222532770449
27,44839883,41313948,20567349,52732322,46396898,60459786,22475601,23257081,39685790,22274496,0.5
28,25945097,30402664,25005652,58133393,40480975,39201750,36362452,21041569,47183997,34690150,0.49913653144850606
29,19762018,49243858,29359588,45091369,22349767,24099484,25261945,37465658,25432986,26509421,0.5261679742814446
30,53364469,56501040,36620372,42713395,23806994,23998326,47351669,37438230,48576215,50719803,0.5416377027147634
31,37619834,28788412,35769221,305848,50573562,47145307,43260222,32216623,26378358,24920908,0.520424071644179
32,25003366,20376084,59716364,48434312,60203678,41290217,23785504,50654493,54779975,53763377,0.4606497754982693
33,58151398,24208326,30052096,30014190,50156521,45040771,40983086,38025125,39168175,25630877,0.5066195453580029
34,25163952,39181118,59441782,44695851,32653910,34429408,19358423,56860106,31221761,25405983,0.4503705561857407
35,37372871,396004,34283938,45028180,25063581,32554758,24875616,57109176,23103650,37797702,0.48791378310599326
36,23355068,41993588,46106367,53433522,46201747,34186920,29231502,34100390,51643356,47676988,0.5347703874088917
37,39390020,45718780,46214317,60325994,27371629,37518372,45352616,44074120,22054784,26439754,0.46064977549826946
38,41962615,37555473,24005764,30140394,47017081,37275903,31317290,30841289,55997526,25972316,0.45636218926828226
39,59322627,20442837,24968021,35640288,58490577,32874420,53818590,56943906,22682620,203342,0.5140995946048218
40,40976125,47629010,25296758,24838615,21205527,39058714,39504714,23178744,48462267,29450041,0.45836229728523653
41,21069413,19802495,51617494,50558436,53943282,25363813,43631970,45544996,23696941,21013642,0.5169750386930871
42,36620483,64833547,39702237,35757909,30058,38372789,49309640,21573425,23469134,20894714,0.4546489278574168
43,33459104,52407274,30033675,44966084,44711986,28600149,22643004,25529350,55862783,38795847,0.47526741184535276
44,34813796,36369590,43465436,442133,28324123,35350150,61832018,62560248,41794191,23546389,0.49510716286477846
45,30062807,32224031,52890933,56497516,20396595,52263473,36690569,39527989,29463507,51056612,0.5063317705077987
46,36839281,26305169,53121783,24215309,29307233,22770768,38747751,40341799,51469882,20182686,0.48705085510713625
47,340439,51578728,38288372,46125980,19550399,45776263,30942101,21898441,35899231,23171859,0.45493439798146346
48,19387266,47121486,59172139,23344583,39902923,37779097,47479820,36444933,45520995,50689264,0.45836229728523653
49,40788858,25203631,19953494,53882536,62288288,19570375,21277264,221442,47565140,22874760,0.5410659938697265
50,40689706,19859919,30740,59236092,40937463,58429668,55457044,34786824,31579235,21316931,0.47612884124492566
51,38259594,23343413,64289884,446493,48327871,51049167,23323169,39520267,19969750,21376122,0.5172625244323762
52,60912241,25248751,51583334,25078577,56621372,20088493,28367476,47126816,47446792,47492214,0.5080583500032378
53,27803170,25838755,21555452,32650384,24794484,19872654,43372414,35764487,22280125,21872117,0.49798524894816515
54,36443586,24738755,50775874,28359809,20636680,24878018,23367436,32579463,20808773,29370664,0.5333379484196868
55,30949715,25013429,21532243,34302985,29599567,31795095,22160613,49211456,46116555,21372707,0.45607657287118863
56,43176983,45282327,24631204,50510638,34641232,32709524,58770684,45190821,51599342,41733179,0.5484892355963221
57,25453619,48961181,28467088,37827521,39120930,30550578,48483797,30638997,35410869,25878447,0.4609358288549253
58,41333551,19388250,20049453,43649573,19033337,25834511,28769720,49062716,51690550,452016,0.5416377027147634
59,43265709,22496417,76193,28761565,52338747,24264775,47067865,30271473,50908301,25199539,0.4844625547604993
60,50274448,37442146,35659397,21002275,36462336,57710747,43886138,32254290,38783220,32974583,0.5178374614404906
61,19294964,40366737,28833832,44174608,38191079,38171803,37171375,34632632,42045658,21420928,0.4959705633218389
62,25346988,56561917,437977,29627890,42223703,22391747,41215503,19658021,32627184,20347745,0.5281767831930428
63,25553611,19406772,45586833,19161366,19380654,20261313,50593250,26194634,22256629,24996316,0.47756487007430654
64,30549529,24585198,42739671,40975278,36723533,52825557,24625225,23014884,57393926,421166,0.549344440152169
65,48163136,32498993,37171422,55109589,29562108,27686623,45628922,37362654,24465502,40896670,0.4948193689428881
66,30945232,38624236,27678451,21192933,22004799,32911687,30967971,55427390,22323160,44867231,0.507482842828685
67,37001930,19771302,21234067,24382501,64089564,40655651,23696007,49101769,25952188,22922423,0.4503705561857407
68,38315534,57709905,45795882,21071017,20132085,29251987,58700352,52345570,23446510,35539083,0.5014391117091528
69,19037039,44190393,44773081,56950929,50644916,31667710,62371531,26877413,61762074,26836011,0.48359996630666746
70,41965265,39999662,54954911,42099158,47822178,40894125,48022179,22946752,23455713,22988035,0.5470632604530102
71,263891,29350339,35412897,31233731,57759271,35049389,46160323,61881618,26164194,36880410,0.5060439914619675
72,55938175,60500830,35407025,20066865,25055492,30053690,35490082,38748279,42660744,26492250,0.4575049400072779
73,35462884,23477596,49091064,59751521,40397442,52320724,20125934,22614941,24089783,35771343,0.535056807158763
74,22905123,20221114,30382934,49779926,50566604,24732107,51610047,37550677,19861100,39124396,0.4827374755676238
75,26338147,35421775,34933965,23514205,43204940,42673253,41242444,58191704,35699189,51189669,0.5175499987447865
76,34732,22236194,23621855,8490,45772625,24761535,42193171,23437218,23214735,21506496,0.5350568071587632
77,24895559,47755627,42990386,20764230,77695,19770930,20363819,24337303,47806037,47621832,0.46379774690361636
78,50489080,50940153,35160257,23606711,32369988,28968838,26600212,62363986,29454029,21946994,0.5126615105490256
79,40278677,38926154,60747345,23002091,21792366,31161628,41329782,20399593,41644173,65102900,0.4592199011941426
