,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
0,22901525,23381829,22152264,35831970,29722465,47389661,32361802,24309712,23362721,47586119,0.4907907012420864
1,24581685,19699419,38399676,37766120,21765005,39889430,28406849,23472806,53358247,55458177,0.48618800429324927
2,21070349,20758552,21545676,54301223,35244487,37229205,22072585,22202065,47035077,39483968,0.5287505638922686
3,51078520,68870864,23966463,31385050,26666497,22128577,28438991,54785620,30953931,44247191,0.5023025688157036
4,19647237,23879797,32985106,19206158,45660397,60826783,22829895,46380943,22467463,20107353,0.4873384894509743
5,40219561,36280012,27302508,54913921,41169117,19618899,30063386,42192995,31495977,34241633,0.5132367706605789
6,38991364,59787297,51800217,39965655,32618812,179537,50276512,25126838,31627613,30312150,0.4769904127024377
7,21426127,44093475,34393102,23646,242212,21148537,23428390,58393341,29491889,61506699,0.5327648175405226
8,37791070,46040086,21445741,51100083,36469298,38893260,37512681,34953701,30914784,36369362,0.5416377027147634
9,37136423,23129498,48119381,24448972,30731059,55416801,40624593,44161602,28844942,33109907,0.4729710000721687
10,24676472,47117252,29204215,36510740,23270971,55390155,46324469,45115516,22064222,38820068,0.5462073029254687
11,54784112,38774108,337266,19871080,37059908,44784472,44778111,51485769,28950384,60120466,0.4873384894509743
12,34260346,602120,65102252,24543675,58100019,22503330,25395416,44041770,46415012,37073700,0.5390641711450747
13,62031978,47984137,40867657,55495156,53404345,23030890,19074679,62363986,47023006,20575566,0.4936682294922017
14,34630446,30608776,24156725,52729611,42990250,52071371,46289775,41089805,43953346,25073798,0.48216253855950975
15,35708488,48449517,37149412,43351103,38590182,23459251,21276044,43490706,47220828,32303584,0.48590040539517815
16,19544149,21395729,65119580,47150124,25735762,34665037,52363627,62521726,27804834,20386612,0.47986327796418354
17,22826536,22495985,41274895,40272631,38807508,37290241,51032335,43082640,48358281,34863818,0.5103601498925354
18,19041082,21794087,43890197,20636000,59791271,64200028,50558670,38317116,20063529,32680224,0.5410659938697265
19,21638797,35382717,49952762,26479937,26145323,52382279,21944289,26229818,20078461,42682448,0.5339109913146218
20,22207134,19467395,61099878,31579036,26651517,24714080,34508166,24892484,28621625,55729781,0.48187508767030807
21,52439703,20468108,44004069,34247155,30417464,22400076,51512489,63580429,64949609,20339162,0.5117985579633935
22,25815862,24362047,25241537,41977490,19428500,21598057,19327673,39976429,28443469,31443156,0.49309268417804253
23,23797546,28909849,44074120,61367725,59640639,118230,21807522,31054295,26077212,19936238,0.4833124582832229
24,22509605,34791928,20729402,60298671,21631773,40245617,28371617,34350020,19381618,21866853,0.5169750386930876
25,24798499,44360309,50657921,44833631,45492143,28973461,49214643,29471587,48320186,31676054,0.46866838474619277
26,32912505,22650055,36179981,50079194,34090918,47239590,29544258,21649266,35023479,29214251,0.48820144203660687
27,34332984,37244280,30980285,43826575,55424995,20364749,32802839,23823219,47261228,37150409,0.4790012698681721
28,24813637,33379251,57455001,24310241,36949490,47662528,59499961,30557194,24891465,57680252,0.5092092987579137
29,31794700,40727397,20801831,22794774,56894011,50521625,600074,20928168,20900062,34027219,0.49654617729578265
30,52737319,60663342,19831319,31985864,58382715,20226988,40336934,55779156,24357036,31127614,0.5040294366781611
31,23856190,35800335,27425492,43323125,44541183,20249048,25809385,21713752,25028895,51016976,0.48475010507303185
32,39174284,64830138,21520116,21268802,44773787,31835028,47933831,28322209,49352499,24550273,0.49165390432297684
33,24784572,47310722,20057771,47105182,38776082,45041002,35018548,35573094,59848188,31583063,0.5155374452395006
34,32547743,35790572,50920984,30284353,20879198,50779646,40842746,53073872,48408044,39846449,0.5146747642001491
35,64887026,47465106,45190820,65129273,45589157,32606061,32267518,22267966,150456,40922821,0.4744061296054041
36,26678064,50286013,44731085,37507164,51970347,44171318,67141998,20148545,38762170,35010513,0.45950582310471483
37,56352090,31250246,21738594,36712745,32932993,43174042,20153813,24502000,40749831,38640871,0.4772776338744447
38,25939168,50706922,34589624,25870845,19578888,31213911,35902789,59319468,28338238,34605669,0.4861880042932488
39,24702284,920,39813518,45642026,47055326,21966629,41207094,24652527,31856292,23523055,0.5407800988058572
40,45323200,29655456,30633559,52727130,34052661,39503828,43532607,26135532,38142359,78124,0.4663755190411391
41,35768685,58171248,47538839,36714971,38702609,21196669,38238852,35103566,28323757,47959423,0.4876261321806844
