,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
0,24736872,36795912,35293687,38313049,34673770,23179706,39589393,44026110,21162580,20442148,0.5092092987579133
1,38580977,38150878,19489476,39957540,41694843,22450424,65020609,45824763,26421109,20394263,0.5115108912177917
2,22001392,23156637,51115158,61162439,43363307,52392930,35676596,38111206,47871802,22601661,0.48791378310599354
3,25073013,20604823,35295482,23718695,55914305,41771089,32917240,24967819,38549276,39849628,0.463511444619133
4,64779675,29515323,34625258,29522139,20961174,57720908,56003545,36510542,32709652,34964436,0.5071950817090514
5,38800406,19654249,42006033,58718194,24472775,47913390,19175046,39893021,56409873,24147643,0.5195619830375009
6,25483328,48065209,19832077,27353271,34226335,22178829,44168075,23991095,47792021,50741430,0.4540780772195163
7,60349210,43243585,31944882,45842147,19978455,53096667,23889957,31983920,20729060,35434981,0.5094970211696689
8,30146553,33410034,23156303,43619870,32882076,37342248,23589776,40331530,48434655,31455,0.5396362519410582
9,28678658,53342583,223922,60288434,21724204,57571490,381075,34812290,48597982,28347126,0.4853252357998512
10,43242509,51747808,46589097,21225858,49334932,23471295,125696,31098737,39089620,23967659,0.5232967932525561
11,48674848,26394802,53337059,57332087,34282214,25006654,34729807,49274529,23323423,19908727,0.5473485180458647
12,40396677,26313732,59218599,35715435,35630822,20055782,60371189,36663702,25055616,37518775,0.48705085510713625
13,38130830,30792841,51440789,23911894,35830886,39587906,38752188,53362358,29729928,50363560,0.5178374614404903
14,25904363,32466432,24401659,36367291,25395416,39744721,35041647,26266596,29278477,59719748,0.4787139613677733
15,49063403,19659197,26272254,35358415,42239354,38979537,26483586,20569368,40984263,38355616,0.49453157845402534
16,43426736,29623259,40985427,35365650,23744341,35611464,32531300,45628441,37344683,32156557,0.45350734729130426
17,42062617,19655742,33679946,28866282,48661381,29224075,47459047,23239999,45431095,44640560,0.4764160161985808
18,55934233,37873448,40700924,45484691,61828114,45138088,29272400,21056570,19717080,30442064,0.5499144149091311
19,25027437,43234448,19987949,32856299,46242384,19616765,21187696,22650717,27221973,59248833,0.5487743358597419
20,56465770,22607568,65042593,35693750,44851628,23120088,25819515,56496675,37084390,37960423,0.4552198977295314
21,46909130,61800333,22291645,41685054,34772479,22399879,45889936,39934581,30979072,201634,0.5353432037894007
22,52387045,23415317,29571706,31405357,74079104,28460917,51571949,22367415,48153083,28380720,0.5037416309309788
23,35017458,53303929,60741600,38838827,24134106,35919737,21567824,27300497,48672774,24275104,0.5304714441835942
24,38348599,23115385,50740645,47840763,38879547,54913932,46195963,21002341,55941182,43189762,0.4586481380987735
25,55831918,22040996,32274151,22874616,40968509,56772965,23627365,39656800,40765728,51613941,0.4666620515803131
26,57470342,52271567,58070920,44299270,38849594,59158559,29551181,50470426,47847547,22251116,0.450655559847831
27,27953471,57651666,40649218,23101677,48410467,51732351,64599934,21192933,22716423,23208328,0.5293242686272807
28,21391236,57451138,19771198,32464656,44937666,50674783,37308325,21595351,20997767,47764895,0.5267420089883953
29,43583144,42785292,26098213,58804827,36707590,22831947,39853594,22388194,19738312,35430450,0.48791378310599326
30,51042078,34537920,32913902,64670139,32509314,52831710,18984462,21404343,38890334,38089250,0.5281767831930428
31,25076541,27794278,139648,339044,54639730,54539123,36969960,31256177,29830810,25367681,0.5207114077393364
32,21071582,19257756,35565107,23079290,38845661,40339129,38742487,29350880,23372290,23950528,0.5382058574322861
33,29750771,23602718,27804375,20468108,21728529,39883072,46432646,35788552,34880962,25368511,0.4827374755676238
34,60321049,47399486,21126970,48542548,31453421,34340614,21608243,38771940,23339164,39066586,0.5140995946048218
35,24194090,171087,23175741,69987,39268093,40629726,36940676,43552989,49235180,37095860,0.5178374614404906
36,31659784,20373293,41724503,65009187,19133179,36433245,46403886,25802526,26053094,41226437,0.4712494361077314
37,63519039,29583669,54810903,39369192,41712092,35788861,26144182,23256754,22442076,45393604,0.4790012698681721
